id,name,image,description,url,sku,category,weight,color,brand_name,brand_image,brand_url,price,price_currency,item_condition,seller,availability,rating_value,review_count,gtin13
https://www.rei.com/product/231445/cotopaxi-making-waves-heritage-tech-hat,Making Waves Heritage Tech Hat,https://www.rei.com/media/product/231445,"A vintage-inspired heritage rope hat made with a lightweight fabric for extra breathability, the Cotopaxi Making Waves Heritage Tech hat will be your new favorite lid for sunny days on the trails.",https://www.rei.com/product/231445/cotopaxi-making-waves-heritage-tech-hat,231445,Men's Ball Caps,,"Blue Spruce, Parakeet, Sangria",Cotopaxi,,https://www.rei.com/b/cotopaxi,40.00,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,5.0,3,"0196928082089, 0196928082065, 0196928082072"
https://www.rei.com/product/184780/electra-all-weather-woven-front-quick-release-basket,All-Weather Woven Front Quick-Release Basket,https://www.rei.com/media/product/184780,"Built to carry your goodies rain or shine, the Electra All-Weather Woven Front quick-release basket easily detaches from your handlebar shopping and when it's time to bring everything inside.",https://www.rei.com/product/184780/electra-all-weather-woven-front-quick-release-basket,184780,Bike Baskets,2 lbs. 12 oz.,Fog Grey,Electra,,https://www.rei.com/b/electra,90.00,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/PreOrder,,,0601842468937
https://www.rei.com/product/230374/ceramicspeed-pulley-wheels-for-sram-eagleaxs-rear-derailleurs,Pulley Wheels for SRAM Eagle/AXS Rear Derailleurs,https://www.rei.com/media/product/230374,"Designed to handle the load of the SRAM Eagle 1x component system, these CeramicSpeed pulley wheels for SRAM Eagle/AXS work with less friction, allowing you to go longer between replacement intervals.",https://www.rei.com/product/230374/ceramicspeed-pulley-wheels-for-sram-eagleaxs-rear-derailleurs,230374,Derailleur Parts,31 grams,Black,CeramicSpeed,,https://www.rei.com/b/ceramicspeed,459.00,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,,,
https://www.rei.com/product/186024/bontrager-circuit-road-cycling-shoes,Circuit Road Cycling Shoes,https://www.rei.com/media/product/186024,Push your performance to the next level without making your feet pay for it. These Bontrager Circuit road cycling shoes balance stiffness and comfort so you can go hard and keep your feet happy.,https://www.rei.com/product/186024/bontrager-circuit-road-cycling-shoes,186024,Men's Road Cycling Shoes,,"Black, Nautical Navy/coral, Visibility Yellow",Bontrager,,https://www.rei.com/b/bontrager,71.83,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,4.0,16,"0601842494936, 0601842494943, 0601842494950, 0601842494974, 0601842494998, 0601842495018, 0601842495032, 0601842495056, 0601842495070, 0601842495094, 0601842495117, 0601842495124, 0601842495131, 0601842495773, 0601842503935, 0601842503942, 0601842503966, 0601842503980, 0601842504000, 0601842504024, 0601842504048, 0601842504062, 0601842504086, 0601842504109, 0601842504116, 0601842504123, 0601842495568, 0601842495575, 0601842495582, 0601842495605, 0601842495629, 0601842495643, 0601842495667, 0601842495681, 0601842495704, 0601842495728, 0601842495742, 0601842495759, 0601842495766"
https://www.rei.com/product/723278/coleman-painted-steel-cooler-54-quart,Painted Steel Cooler - 54 Quart,https://www.rei.com/media/product/723278,They do make things like they used to!  Stainless-steel cooler with chip-resistant enamel finish has same great performance as original from 1954.,https://www.rei.com/product/723278/coleman-painted-steel-cooler-54-quart,723278,Hard-sided Coolers,20 lbs. 4 oz.,None,Coleman,https://satchel.rei.com/media/img/brand-logos/264.gif,https://www.rei.com/b/coleman,200.00,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,4.1,150,0076501344011
https://www.rei.com/product/219494/neso-beach-lounger,Beach Lounger,https://www.rei.com/media/product/219494,"Make beach days a breeze with the Neso Beach Lounger. Its portable, easy-to-use design lets you set up a stable spot to kick up your feet and soak in the views—or take a nap—without getting sandy.",https://www.rei.com/product/219494/neso-beach-lounger,219494,Camp Chairs,12.3 pounds,Aqua Fronds,Neso,,https://www.rei.com/b/neso,99.95,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,,,0850026339703
https://www.rei.com/product/881344/fox-40-classic-safety-whistle,Classic Safety Whistle,https://www.rei.com/media/product/881344,"Sometimes, the only way to be found is to be heard. The loud, crisp sound of the Fox 40 Classic safety whistle cuts through other noise to help signal your location for rescuers—up to a mile away.",https://www.rei.com/product/881344/fox-40-classic-safety-whistle,881344,Whistles,Unavailable,Orange,Fox 40,,https://www.rei.com/b/fox-40,6.95,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,4.5,10,0066143340441
https://www.rei.com/product/226144/hotronic-foot-warmer-xlp-1c-custom-set,Foot Warmer XLP 1C Custom Set,https://www.rei.com/media/product/226144,Keep your feet toasty warm at the resort with the Hotronic Foot Warmer XLP 1C Custom set. It's easy to use with all types of insoles and provides constant heat at your preferred comfort zone.,https://www.rei.com/product/226144/hotronic-foot-warmer-xlp-1c-custom-set,226144,Hand and Foot Warmers,3.7 ounces,None,Hotronic,,https://www.rei.com/b/hotronic,349.00,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,4.5,2,
https://www.rei.com/product/219140/maxxis-ikon-exo-3c-tire,Ikon EXO 3C Tire,https://www.rei.com/media/product/219140,"With its predictable handling, the Maxxis Ikon EXO 3C tire is designed to perform in a broad range of conditions, making it a favorite for racers looking for a lightweight race tire.",https://www.rei.com/product/219140/maxxis-ikon-exo-3c-tire,219140,Mountain Bike Tires,29 IN x 2.2 IN: 759 grams,Black/tan,Maxxis,,https://www.rei.com/b/maxxis,101.00,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/OutOfStock,,,
https://www.rei.com/product/220508/petzl-spirit-bent-gate-carabiner-package-of-6,Spirit Bent Gate Carabiner - Package of 6,https://www.rei.com/media/product/220508,Lighter than before—yet with the same smooth action and efficient handling—this 6-pack of redesigned Petzl Spirit bent gate carabiners make snag-free clipping quick and easy.,https://www.rei.com/product/220508/petzl-spirit-bent-gate-carabiner-package-of-6,220508,Carabiners,37 grams,Assorted,Petzl,https://satchel.rei.com/media/img/brand-logos/904.gif,https://www.rei.com/b/petzl,69.95,USD,https://schema.org/NewCondition,REI Co-op,https://schema.org/InStock,5.0,2,
